,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,14754.455,0.0004068052350026158,0.0,0.0005,0.0055
1,1,14984.251,0.0008459768622397631,0.0005,0.0005,0.004
2,2,15007.3475,0.0005108822606946506,0.0,0.001,0.006
3,3,14827.51,0.0003877767869164753,0.0,0.0,0.0065
4,4,15418.72,0.00027390766185633026,0.0,0.0,0.002
5,5,14803.806,0.0014790008130094229,0.001,0.001,0.0075
6,6,15024.636,0.0005166880533788862,0.0,0.0,0.008
7,7,15121.1415,0.00024264601148162433,0.0,0.0,0.002
8,8,14775.776,0.0005172109598991475,0.0,0.0005,0.0095
9,9,14716.4045,0.0004252121854974118,0.0,0.0005,0.006
