,Conf.,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,1,0,11174.2985,0.0005051813354142994,0.0,0.0,0.0065
1,1,1,11099.1015,0.0003602157331270635,0.0,0.0,0.0045
2,1,2,11138.7415,0.0013737768454887978,0.001,0.0015,0.0055
3,1,3,11055.587,0.0004582546710275002,0.0,0.0005,0.005
4,1,4,11452.24,0.0005587887406739452,0.0,0.001,0.003
5,1,5,11010.5645,0.0006069910807829169,0.0,0.0005,0.008
6,1,6,11115.258,0.0015774621209473153,0.001,0.002,0.008
7,1,7,11135.3915,0.00034301921116626,0.0,0.0,0.0045
8,1,8,11220.5625,0.0005669123734692244,0.0,0.0005,0.006
9,1,9,10903.2435,0.0018373386246288272,0.001,0.002,0.0105
10,2,0,9321.753,0.000495930988521415,0.0,0.0,0.0095
11,2,1,8996.288,0.0015077725859779705,0.0005,0.0035,0.009
12,2,2,8865.38,0.0011812479907063755,0.0005,0.0015,0.0055
13,2,3,8933.8955,0.0013328229457094216,0.0005,0.002,0.0115
14,2,4,9173.613,0.0005683216786957721,0.0,0.001,0.0065
15,2,5,9035.6515,0.002063272776029803,0.0015,0.002,0.0105
16,2,6,8959.002,0.0010654590331148647,0.0,0.003,0.008
17,2,7,9134.7725,0.0014734688862924204,0.0005,0.0025,0.012
18,2,8,9217.599,0.0012224076504723867,0.0005,0.0025,0.0055
19,2,9,8946.4825,0.0005407472817580194,0.0,0.0005,0.008
20,3,0,7646.3645,0.005753567595739941,0.003,0.009,0.028
21,3,1,7226.6685,0.0061905407993302205,0.004,0.009,0.025
22,3,2,7712.113,0.005105581920462294,0.0035,0.007,0.023
23,3,3,7201.9325,0.009111465965981015,0.007,0.012,0.029
24,3,4,7473.635,0.0025691289720576067,0.001,0.003,0.0205
25,3,5,7248.258,0.005052534919427208,0.003,0.008,0.0235
26,3,6,7309.8455,0.004500140844962571,0.0025,0.0055,0.0225
27,3,7,7189.669,0.006026934749568439,0.0045,0.0075,0.022
28,3,8,6931.581,0.003957920171987148,0.0025,0.0055,0.0215
29,3,9,7605.542,0.005486638468250296,0.004,0.0065,0.021
30,4,0,8834.8355,0.013981447711070483,0.0125,0.015,0.0305
31,4,1,8769.1245,0.021781126283077077,0.02,0.0235,0.037
32,4,2,8970.249,0.008927063548845067,0.007,0.0115,0.028
33,4,3,8601.9335,0.021115942210644733,0.0195,0.023,0.039
34,4,4,8972.7305,0.013298871555138021,0.0115,0.015,0.0335
35,4,5,8765.2345,0.015605148185620279,0.013,0.019,0.041
36,4,6,8757.211,0.01905348532236195,0.0175,0.0205,0.0385
37,4,7,9479.1785,0.007325194723834031,0.005,0.01,0.0315
38,4,8,7112.9235,0.028612262620952695,0.0245,0.0355,0.0665
39,4,9,9630.792,0.007205330722709025,0.0055,0.009,0.0215
40,5,0,13178.095,0.0017085333734549485,0.001,0.002,0.012
41,5,1,12260.9655,0.005213081419466191,0.004,0.0065,0.0185
42,5,2,12731.8915,0.0024625831927875433,0.0015,0.003,0.013
43,5,3,13162.093,0.0014220091047105394,0.001,0.001,0.007
44,5,4,13488.378,0.0006328997050760719,0.0,0.001,0.008
45,5,5,13527.393,0.0005096383220881012,0.0,0.001,0.0045
46,5,6,13738.159,0.0031824979969533053,0.002,0.0045,0.0135
47,5,7,13706.031,0.0009321035224335346,0.0,0.0015,0.009
48,5,8,13371.907,0.003567851412691096,0.003,0.0035,0.0105
49,5,9,13975.079,0.0005594349620180073,0.0,0.0005,0.009
50,6,0,15039.7675,0.0005678991686646959,0.0,0.001,0.008
51,6,1,15464.295,0.00034815529359421047,0.0,0.0,0.0045
52,6,2,15163.851,0.0004899129271946392,0.0,0.0005,0.0065
53,6,3,15347.9795,0.00047092131379540336,0.0,0.001,0.004
54,6,4,14593.258,0.0005963217886569795,0.0,0.001,0.0045
55,6,5,15844.283,0.002169383272178668,0.0015,0.003,0.006
56,6,6,14798.4835,0.0003456111320418791,0.0,0.0,0.005
57,6,7,15417.6295,0.00024008211495977485,0.0,0.0,0.0005
58,6,8,14640.828,0.0002790949841607501,0.0,0.0,0.002
59,6,9,15388.2995,0.0005777852975468521,0.0,0.001,0.005
60,7,0,15200.0365,0.0004880540678037086,0.0,0.0005,0.006
61,7,1,15504.145,0.0006490123000512191,0.0,0.0015,0.0055
62,7,2,14936.392,0.0004947101600558564,0.0,0.0015,0.0045
63,7,3,15078.7715,0.0006645755051790753,0.0,0.0015,0.005
64,7,4,14891.905,0.0003675831423460493,0.0,0.0,0.007
65,7,5,14917.8685,0.00045492246978450656,0.0,0.0005,0.006
66,7,6,14686.929,0.0026464077744537766,0.002,0.0035,0.01
67,7,7,15153.4525,0.0015745335313723536,0.001,0.0015,0.0065
68,7,8,14794.649,0.000672243783718068,0.0,0.001,0.006
69,7,9,15221.863,0.00030890602251730894,0.0,0.0,0.0045
70,8,0,14754.455,0.0004068052350026158,0.0,0.0005,0.0055
71,8,1,14984.251,0.0008459768622397631,0.0005,0.0005,0.004
72,8,2,15007.3475,0.0005108822606946506,0.0,0.001,0.006
73,8,3,14827.51,0.0003877767869164753,0.0,0.0,0.0065
74,8,4,15418.72,0.00027390766185633026,0.0,0.0,0.002
75,8,5,14803.806,0.0014790008130094229,0.001,0.001,0.0075
76,8,6,15024.636,0.0005166880533788862,0.0,0.0,0.008
77,8,7,15121.1415,0.00024264601148162433,0.0,0.0,0.002
78,8,8,14775.776,0.0005172109598991475,0.0,0.0005,0.0095
79,8,9,14716.4045,0.0004252121854974118,0.0,0.0005,0.006
