,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,14592.505,0.00033473375862368214,0.0,0.0,0.005
1,1,14512.812,0.000357951032055023,0.0,0.0,0.0055
2,2,14932.1115,0.00032730493806159866,0.0,0.0,0.004
3,3,14966.5915,0.00031654259128801747,0.0,0.0,0.0025
4,4,15442.817,0.00030081399148471815,0.0,0.0005,0.0025
5,5,14743.678,0.00032953141150609394,0.0,0.0,0.0035
6,6,15514.453,0.001870696400852382,0.0015,0.002,0.006
7,7,15203.231,0.0005321395881814058,0.0,0.0005,0.0035
8,8,15284.391,0.00037055259215816713,0.0,0.0005,0.003
9,9,14894.43,0.0004082665303097143,0.0,0.0005,0.005
