,Conf.,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,1,0,11584.4205,0.0006460665088759171,0.0,0.001,0.007
1,1,1,11246.971,0.00046828613790196426,0.0,0.0005,0.006
2,1,2,11256.0695,0.0005908427839801459,0.0,0.001,0.004
3,1,3,11264.3225,0.0009393651844907813,0.0005,0.001,0.0065
4,1,4,10954.177,0.0008106202412060781,0.0,0.0005,0.011
5,2,0,9000.48,0.0005934168946080572,0.0,0.0005,0.006
6,2,1,9118.565,0.0004914224901275423,0.0,0.0,0.0075
7,2,2,8987.4725,0.0005702592065582488,0.0,0.0005,0.006
8,2,3,9010.397,0.0006186631923425994,0.0,0.0005,0.0095
9,2,4,8779.906,0.000546448808083645,0.0,0.0,0.007
10,3,0,7174.419,0.003536652123270041,0.0015,0.006,0.021
11,3,1,7464.504,0.006464097163623519,0.004,0.01,0.0305
12,3,2,7366.7615,0.005622089641235232,0.003,0.0105,0.027
13,3,3,7324.8635,0.008384345048327177,0.006,0.012,0.0295
14,3,4,7288.877,0.007010395645662529,0.0045,0.01,0.0305
15,4,0,8802.973,0.020405002010910868,0.0185,0.0215,0.0405
16,4,1,9515.586,0.010287534583293251,0.009,0.0125,0.025
17,4,2,8472.08,0.016472710860034993,0.014,0.019,0.0365
18,4,3,8543.2175,0.019605414771115163,0.0165,0.0225,0.0475
19,4,4,10015.8365,0.002224781887950741,0.001,0.0025,0.017
20,5,0,13440.3195,0.010878065812847478,0.01,0.0125,0.0215
21,5,1,13844.749,0.002389747034371217,0.002,0.0025,0.0065
22,5,2,13028.571,0.00837342687495621,0.0075,0.009,0.0165
23,5,3,12991.652,0.0029897373456122815,0.002,0.004,0.0085
24,5,4,13984.6455,0.002522605846791548,0.002,0.003,0.009
25,6,0,15341.694,0.0005544527036046255,0.0,0.0005,0.0045
26,6,1,14752.848,0.0009979065065995748,0.0005,0.0015,0.0065
27,6,2,15243.224,0.000633563832956418,0.0,0.001,0.0075
28,6,3,15015.444,0.00035692434848242906,0.0,0.0005,0.0025
29,6,4,14652.967,0.0003350211760240658,0.0,0.0,0.005
30,7,0,14789.915,0.000231622162771621,0.0,0.0,0.0015
31,7,1,15108.9765,0.00046009193814394765,0.0,0.001,0.004
32,7,2,15322.474,0.0013641189667283247,0.001,0.0015,0.006
33,7,3,14847.832,0.00047442015317631465,0.0,0.0005,0.007
34,7,4,15341.0795,0.000346510943205181,0.0,0.0,0.004
35,8,0,14824.0915,0.0017630947113583572,0.001,0.0025,0.006
36,8,1,14294.851,0.0002689470665130594,0.0,0.0,0.003
37,8,2,14895.139,0.00043695666865631137,0.0,0.0005,0.006
38,8,3,14997.467,0.0006710093750127162,0.0,0.002,0.006
39,8,4,14865.979,0.0006901168307868427,0.0,0.0015,0.0035
