,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,5815.4965,0.0036120956374954033,0.001,0.006,0.0325
1,1,4017.397,0.028613469312281658,0.0205,0.0455,0.1315
2,2,5838.6665,0.004325406581728236,0.001,0.0095,0.0325
3,3,5713.933,0.0036380305548897765,0.001,0.005,0.037
4,4,4101.3345,0.02068320671330897,0.012,0.036,0.1255
5,5,6059.3315,0.004331278142239777,0.001,0.0085,0.0425
6,6,4039.551,0.030243667414981093,0.021,0.0455,0.1335
7,7,6258.0205,0.002984628863117737,0.0005,0.003,0.0355
8,8,5532.76,0.011150747770826159,0.005,0.02,0.0565
9,9,4011.007,0.03281250994333814,0.017,0.0595,0.1305
